date,users, sessionLength,event_count
2019-01-05 20:00:00,25,257,28
2019-01-05 21:00:00,17,215,18
2019-01-05 22:00:00,21,345,21
2019-01-05 23:00:00,25,187,25
2019-01-06 00:00:00,42,197,43
2019-01-06 01:00:00,72,251,74
2019-01-06 02:00:00,109,222,122
2019-01-06 03:00:00,90,247,100
2019-01-06 04:00:00,95,232,104
2019-01-06 05:00:00,98,220,108
2019-01-06 06:00:00,175,238,196
2019-01-06 07:00:00,186,246,200
2019-01-06 08:00:00,246,235,274
2019-01-06 09:00:00,168,265,180
2019-01-06 10:00:00,180,248,191
2019-01-06 11:00:00,167,314,177
2019-01-06 12:00:00,171,253,187
2019-01-06 13:00:00,167,306,184
2019-01-06 14:00:00,174,211,188
2019-01-06 15:00:00,165,252,227
2019-01-06 16:00:00,163,345,210
2019-01-06 17:00:00,104,296,124
2019-01-06 18:00:00,64,254,89
2019-01-06 19:00:00,45,336,47
2019-01-06 20:00:00,20,1032,21
2019-01-06 21:00:00,29,124,29
2019-01-06 22:00:00,25,215,28
2019-01-06 23:00:00,35,221,35
2019-01-07 00:00:00,67,239,72
2019-01-07 01:00:00,109,614,121
2019-01-07 02:00:00,125,256,144
2019-01-07 03:00:00,134,276,186
2019-01-07 04:00:00,137,318,150
2019-01-07 05:00:00,136,202,152
2019-01-07 06:00:00,190,202,215
2019-01-07 07:00:00,222,212,262
2019-01-07 08:00:00,215,197,273
2019-01-07 09:00:00,272,188,353
2019-01-07 10:00:00,250,304,299
2019-01-07 11:00:00,186,235,213
2019-01-07 12:00:00,197,254,220
2019-01-07 13:00:00,261,304,289
2019-01-07 14:00:00,197,433,222
2019-01-07 15:00:00,197,255,212
2019-01-07 16:00:00,166,254,181
2019-01-07 17:00:00,156,217,172
2019-01-07 18:00:00,87,209,91
2019-01-07 19:00:00,42,254,47
2019-01-07 20:00:00,41,252,41
2019-01-07 21:00:00,27,179,27
2019-01-07 22:00:00,40,226,41
2019-01-07 23:00:00,35,184,35
2019-01-08 00:00:00,67,219,74
2019-01-08 01:00:00,125,239,139
2019-01-08 02:00:00,145,221,154
2019-01-08 03:00:00,211,230,231
2019-01-08 04:00:00,206,257,232
2019-01-08 05:00:00,205,242,220
2019-01-08 06:00:00,214,221,234
2019-01-08 07:00:00,201,197,237
2019-01-08 08:00:00,285,245,349
2019-01-08 09:00:00,200,228,285
2019-01-08 10:00:00,169,207,209
2019-01-08 11:00:00,165,193,186
2019-01-08 12:00:00,218,222,254
2019-01-08 13:00:00,211,237,258
2019-01-08 14:00:00,187,221,199
2019-01-08 15:00:00,190,219,215
2019-01-08 16:00:00,157,247,169
2019-01-08 17:00:00,100,205,103
2019-01-08 18:00:00,64,335,71
2019-01-08 19:00:00,45,256,48
2019-01-08 20:00:00,27,302,29
2019-01-08 21:00:00,29,206,35
2019-01-08 22:00:00,32,342,34
2019-01-08 23:00:00,40,327,43
2019-01-09 00:00:00,51,243,58
2019-01-09 01:00:00,84,217,91
2019-01-09 02:00:00,115,246,121
2019-01-09 03:00:00,174,271,185
2019-01-09 04:00:00,189,178,200
2019-01-09 05:00:00,177,214,195
2019-01-09 06:00:00,166,299,186
2019-01-09 07:00:00,247,221,274
2019-01-09 08:00:00,292,199,347
2019-01-09 09:00:00,200,220,229
2019-01-09 10:00:00,202,554,227
2019-01-09 11:00:00,185,225,206
2019-01-09 12:00:00,179,257,202
2019-01-09 13:00:00,241,243,260
2019-01-09 14:00:00,217,212,229
2019-01-09 15:00:00,161,241,172
2019-01-09 16:00:00,152,245,167
2019-01-09 17:00:00,122,230,133
2019-01-09 18:00:00,56,233,58
2019-01-09 19:00:00,39,159,40
2019-01-09 20:00:00,31,301,31
2019-01-09 21:00:00,23,273,23
2019-01-09 22:00:00,24,214,25
2019-01-09 23:00:00,38,250,42
2019-01-10 00:00:00,45,229,47
2019-01-10 01:00:00,81,677,88
2019-01-10 02:00:00,126,222,141
2019-01-10 03:00:00,153,252,165
2019-01-10 04:00:00,153,180,162
2019-01-10 05:00:00,218,214,245
2019-01-10 06:00:00,180,219,197
2019-01-10 07:00:00,173,219,196
2019-01-10 08:00:00,254,211,273
2019-01-10 09:00:00,210,207,222
2019-01-10 10:00:00,209,231,227
2019-01-10 11:00:00,235,187,255
2019-01-10 12:00:00,191,232,218
2019-01-10 13:00:00,282,200,307
2019-01-10 14:00:00,229,208,244
2019-01-10 15:00:00,201,255,227
2019-01-10 16:00:00,141,308,157
2019-01-10 17:00:00,114,262,125
2019-01-10 18:00:00,66,268,71
2019-01-10 19:00:00,53,239,59
2019-01-10 20:00:00,32,291,33
2019-01-10 21:00:00,30,230,40
2019-01-10 22:00:00,25,203,28
2019-01-10 23:00:00,38,144,41
2019-01-11 00:00:00,83,174,89
2019-01-11 01:00:00,78,255,89
2019-01-11 02:00:00,108,241,118
2019-01-11 03:00:00,181,222,194
2019-01-11 04:00:00,153,236,168
2019-01-11 05:00:00,192,209,208
2019-01-11 06:00:00,182,179,195
2019-01-11 07:00:00,219,192,237
2019-01-11 08:00:00,227,203,243
2019-01-11 09:00:00,194,213,220
2019-01-11 10:00:00,263,232,301
2019-01-11 11:00:00,197,184,213
2019-01-11 12:00:00,210,205,219
2019-01-11 13:00:00,228,242,254
2019-01-11 14:00:00,199,248,218
2019-01-11 15:00:00,158,204,172
2019-01-11 16:00:00,162,228,179
2019-01-11 17:00:00,102,281,111
2019-01-11 18:00:00,71,246,80
2019-01-11 19:00:00,59,230,64
2019-01-11 20:00:00,42,226,47
2019-01-11 21:00:00,31,226,36
2019-01-11 22:00:00,31,342,32
2019-01-11 23:00:00,33,217,37
2019-01-12 00:00:00,67,199,70
2019-01-12 01:00:00,81,217,86
2019-01-12 02:00:00,85,268,92
2019-01-12 03:00:00,153,221,165
2019-01-12 04:00:00,140,213,150
2019-01-12 05:00:00,119,180,132
2019-01-12 06:00:00,156,209,181
2019-01-12 07:00:00,175,187,185
2019-01-12 08:00:00,242,221,262
2019-01-12 09:00:00,197,184,222
2019-01-12 10:00:00,217,221,246
2019-01-12 11:00:00,222,217,239
2019-01-12 12:00:00,182,293,208
2019-01-12 13:00:00,232,187,251
2019-01-12 14:00:00,183,202,203
2019-01-12 15:00:00,166,297,176
2019-01-12 16:00:00,148,275,163
2019-01-12 17:00:00,103,203,110
2019-01-12 18:00:00,76,228,76
2019-01-12 19:00:00,35,180,36
2019-01-12 20:00:00,37,305,39
2019-01-12 21:00:00,28,190,29
2019-01-12 22:00:00,32,254,34
2019-01-12 23:00:00,33,169,36
2019-01-13 00:00:00,58,179,69
2019-01-13 01:00:00,83,204,90
2019-01-13 02:00:00,119,269,133
2019-01-13 03:00:00,173,222,182
2019-01-13 04:00:00,139,236,154
2019-01-13 05:00:00,151,234,163
2019-01-13 06:00:00,121,218,137
2019-01-13 07:00:00,163,151,168
2019-01-13 08:00:00,170,242,187
2019-01-13 09:00:00,188,235,201
2019-01-13 10:00:00,201,181,218
2019-01-13 11:00:00,185,318,211
2019-01-13 12:00:00,176,211,199
2019-01-13 13:00:00,192,200,206
2019-01-13 14:00:00,198,236,227
2019-01-13 15:00:00,195,209,220
2019-01-13 16:00:00,179,207,197
2019-01-13 17:00:00,102,278,111
2019-01-13 18:00:00,57,256,62
2019-01-13 19:00:00,42,349,54
2019-01-13 20:00:00,29,276,33
2019-01-13 21:00:00,35,290,37
2019-01-13 22:00:00,18,233,19
2019-01-13 23:00:00,34,186,39
2019-01-14 00:00:00,68,248,78
2019-01-14 01:00:00,102,218,111
2019-01-14 02:00:00,129,216,141
2019-01-14 03:00:00,183,194,195
2019-01-14 04:00:00,147,196,159
2019-01-14 05:00:00,141,218,159
2019-01-14 06:00:00,176,188,197
2019-01-14 07:00:00,157,239,185
2019-01-14 08:00:00,200,210,215
2019-01-14 09:00:00,200,172,218
2019-01-14 10:00:00,170,224,197
2019-01-14 11:00:00,157,851,180
2019-01-14 12:00:00,176,278,205
2019-01-14 13:00:00,216,205,234
2019-01-14 14:00:00,169,224,195
2019-01-14 15:00:00,165,214,183
2019-01-14 16:00:00,138,198,148
2019-01-14 17:00:00,106,256,121
2019-01-14 18:00:00,77,325,84
2019-01-14 19:00:00,33,299,36
2019-01-14 20:00:00,31,236,32
2019-01-14 21:00:00,35,305,35
2019-01-14 22:00:00,27,310,30
2019-01-14 23:00:00,32,181,32
2019-01-15 00:00:00,54,175,59
2019-01-15 01:00:00,90,231,99
2019-01-15 02:00:00,114,216,125
2019-01-15 03:00:00,193,227,206
2019-01-15 04:00:00,177,190,191
2019-01-15 05:00:00,129,324,145
2019-01-15 06:00:00,204,178,233
2019-01-15 07:00:00,163,232,177
2019-01-15 08:00:00,221,171,232
2019-01-15 09:00:00,139,221,153
2019-01-15 10:00:00,209,208,223
2019-01-15 11:00:00,218,175,236
2019-01-15 12:00:00,277,245,294
2019-01-15 13:00:00,224,250,247
2019-01-15 14:00:00,197,269,223
2019-01-15 15:00:00,136,287,151
2019-01-15 16:00:00,145,263,149
2019-01-15 17:00:00,109,280,120
2019-01-15 18:00:00,57,323,62
2019-01-15 19:00:00,32,255,33
2019-01-15 20:00:00,27,258,29
2019-01-15 21:00:00,22,212,23
2019-01-15 22:00:00,29,213,34
2019-01-15 23:00:00,32,362,33
2019-01-16 00:00:00,53,221,57
2019-01-16 01:00:00,75,271,83
2019-01-16 02:00:00,103,228,112
2019-01-16 03:00:00,151,265,160
2019-01-16 04:00:00,114,242,122
2019-01-16 05:00:00,201,209,236
2019-01-16 06:00:00,192,228,212
2019-01-16 07:00:00,179,201,192
2019-01-16 08:00:00,211,222,234
2019-01-16 09:00:00,181,244,208
2019-01-16 10:00:00,177,257,194
2019-01-16 11:00:00,174,314,189
2019-01-16 12:00:00,197,267,221
2019-01-16 13:00:00,213,200,226
2019-01-16 14:00:00,202,224,222
2019-01-16 15:00:00,173,205,191
2019-01-16 16:00:00,128,274,145
2019-01-16 17:00:00,151,251,163
2019-01-16 18:00:00,88,219,94
2019-01-16 19:00:00,38,264,38
2019-01-16 20:00:00,31,274,33
2019-01-16 21:00:00,38,242,41
2019-01-16 22:00:00,40,255,42
2019-01-16 23:00:00,38,233,39
2019-01-17 00:00:00,72,182,84
2019-01-17 01:00:00,92,195,98
2019-01-17 02:00:00,137,243,147
2019-01-17 03:00:00,177,210,191
2019-01-17 04:00:00,186,185,214
2019-01-17 05:00:00,144,261,176
2019-01-17 06:00:00,163,238,203
2019-01-17 07:00:00,235,247,278
2019-01-17 08:00:00,282,1114,304
2019-01-17 09:00:00,250,198,295
2019-01-17 10:00:00,190,234,210
2019-01-17 11:00:00,214,195,234
2019-01-17 12:00:00,170,262,200
2019-01-17 13:00:00,239,301,265
2019-01-17 14:00:00,233,257,249
2019-01-17 15:00:00,208,204,226
2019-01-17 16:00:00,146,252,159
2019-01-17 17:00:00,109,213,119
2019-01-17 18:00:00,63,266,64
2019-01-17 19:00:00,37,199,38
2019-01-17 20:00:00,32,250,36
2019-01-17 21:00:00,31,306,33
2019-01-17 22:00:00,34,231,36
2019-01-17 23:00:00,30,108,31
2019-01-18 00:00:00,63,150,68
2019-01-18 01:00:00,88,239,91
2019-01-18 02:00:00,95,200,101
2019-01-18 03:00:00,99,185,122
2019-01-18 04:00:00,109,319,116
2019-01-18 05:00:00,116,208,129
2019-01-18 06:00:00,156,193,173
2019-01-18 07:00:00,211,213,231
2019-01-18 08:00:00,208,222,246
2019-01-18 09:00:00,149,275,168
2019-01-18 10:00:00,168,232,193
2019-01-18 11:00:00,194,237,215
2019-01-18 12:00:00,226,217,243
2019-01-18 13:00:00,189,205,210
2019-01-18 14:00:00,209,226,225
2019-01-18 15:00:00,179,265,205
2019-01-18 16:00:00,120,225,128
2019-01-18 17:00:00,85,384,96
2019-01-18 18:00:00,65,413,71
2019-01-18 19:00:00,36,234,37
2019-01-18 20:00:00,29,272,32
2019-01-18 21:00:00,15,271,16
2019-01-18 22:00:00,21,194,21
2019-01-18 23:00:00,32,153,38
2019-01-19 00:00:00,39,262,47
2019-01-19 01:00:00,83,323,91
2019-01-19 02:00:00,109,255,123
2019-01-19 03:00:00,111,277,119
2019-01-19 04:00:00,141,245,162
2019-01-19 05:00:00,134,251,141
2019-01-19 06:00:00,136,322,147
2019-01-19 07:00:00,155,356,174
2019-01-19 08:00:00,153,270,178
2019-01-19 09:00:00,181,172,202
2019-01-19 10:00:00,163,230,191
2019-01-19 11:00:00,193,238,229
2019-01-19 12:00:00,177,249,217
2019-01-19 13:00:00,193,219,221
2019-01-19 14:00:00,125,192,139
2019-01-19 15:00:00,161,264,178
2019-01-19 16:00:00,118,274,137
2019-01-19 17:00:00,97,283,125
2019-01-19 18:00:00,54,386,59
2019-01-19 19:00:00,34,282,45
2019-01-19 20:00:00,33,286,34
2019-01-19 21:00:00,20,308,20
2019-01-19 22:00:00,26,202,31
2019-01-19 23:00:00,35,324,37
2019-01-20 00:00:00,42,176,43
2019-01-20 01:00:00,63,270,76
2019-01-20 02:00:00,107,174,119
2019-01-20 03:00:00,170,208,188
2019-01-20 04:00:00,150,221,169
2019-01-20 05:00:00,137,209,147
2019-01-20 06:00:00,130,205,137
2019-01-20 07:00:00,162,200,182
2019-01-20 08:00:00,236,225,260
2019-01-20 09:00:00,165,190,180
2019-01-20 10:00:00,198,887,210
2019-01-20 11:00:00,203,209,224
2019-01-20 12:00:00,167,207,178
2019-01-20 13:00:00,193,224,214
2019-01-20 14:00:00,144,234,156
2019-01-20 15:00:00,136,268,155
2019-01-20 16:00:00,111,236,121
2019-01-20 17:00:00,91,256,102
2019-01-20 18:00:00,68,210,74
2019-01-20 19:00:00,25,555,29
2019-01-20 20:00:00,27,454,29
2019-01-20 21:00:00,18,961,22
2019-01-20 22:00:00,25,186,26
2019-01-20 23:00:00,24,277,26
2019-01-21 00:00:00,66,174,72
2019-01-21 01:00:00,112,276,118
2019-01-21 02:00:00,115,327,127
2019-01-21 03:00:00,174,252,190
2019-01-21 04:00:00,166,265,194
2019-01-21 05:00:00,144,338,167
2019-01-21 06:00:00,136,254,152
2019-01-21 07:00:00,134,237,149
2019-01-21 08:00:00,209,244,226
2019-01-21 09:00:00,159,253,181
2019-01-21 10:00:00,186,194,222
2019-01-21 11:00:00,154,274,178
2019-01-21 12:00:00,160,235,179
2019-01-21 13:00:00,152,287,170
2019-01-21 14:00:00,223,274,243
2019-01-21 15:00:00,205,196,216
2019-01-21 16:00:00,146,271,152
2019-01-21 17:00:00,123,274,129
2019-01-21 18:00:00,63,286,79
2019-01-21 19:00:00,43,523,46
2019-01-21 20:00:00,21,204,22
2019-01-21 21:00:00,32,206,32
2019-01-21 22:00:00,29,3097,31
2019-01-21 23:00:00,31,290,33
2019-01-22 00:00:00,64,198,70
2019-01-22 01:00:00,84,271,93
2019-01-22 02:00:00,114,247,131
2019-01-22 03:00:00,178,272,192
2019-01-22 04:00:00,168,219,180
2019-01-22 05:00:00,183,266,217
2019-01-22 06:00:00,159,236,196
2019-01-22 07:00:00,210,246,272
2019-01-22 08:00:00,208,189,226
2019-01-22 09:00:00,199,195,243
2019-01-22 10:00:00,152,228,174
2019-01-22 11:00:00,130,229,152
2019-01-22 12:00:00,167,242,187
2019-01-22 13:00:00,174,247,203
2019-01-22 14:00:00,179,225,187
2019-01-22 15:00:00,145,239,158
2019-01-22 16:00:00,120,284,123
2019-01-22 17:00:00,94,261,106
2019-01-22 18:00:00,41,211,43
2019-01-22 19:00:00,37,315,40
2019-01-22 20:00:00,26,221,29
2019-01-22 21:00:00,19,310,19
2019-01-22 22:00:00,28,654,29
2019-01-22 23:00:00,34,253,37
2019-01-23 00:00:00,30,206,32
2019-01-23 01:00:00,82,230,88
2019-01-23 02:00:00,116,243,127
2019-01-23 03:00:00,153,257,167
2019-01-23 04:00:00,145,225,159
2019-01-23 05:00:00,151,226,178
2019-01-23 06:00:00,144,286,159
2019-01-23 07:00:00,207,776,229
2019-01-23 08:00:00,247,222,279
2019-01-23 09:00:00,203,232,237
2019-01-23 10:00:00,224,144,246
2019-01-23 11:00:00,191,338,219
2019-01-23 12:00:00,206,244,225
2019-01-23 13:00:00,253,191,287
2019-01-23 14:00:00,184,287,203
2019-01-23 15:00:00,143,213,158
2019-01-23 16:00:00,150,204,168
2019-01-23 17:00:00,121,244,132
2019-01-23 18:00:00,68,245,71
2019-01-23 19:00:00,40,252,42
2019-01-23 20:00:00,20,178,21
2019-01-23 21:00:00,32,224,32
2019-01-23 22:00:00,24,148,27
2019-01-23 23:00:00,33,160,35
2019-01-24 00:00:00,69,199,77
2019-01-24 01:00:00,104,224,109
2019-01-24 02:00:00,123,241,128
2019-01-24 03:00:00,183,235,201
2019-01-24 04:00:00,182,179,203
2019-01-24 05:00:00,149,249,169
2019-01-24 06:00:00,190,238,214
2019-01-24 07:00:00,171,174,189
2019-01-24 08:00:00,246,213,277
2019-01-24 09:00:00,170,230,192
2019-01-24 10:00:00,207,283,235
2019-01-24 11:00:00,187,219,216
2019-01-24 12:00:00,219,266,236
2019-01-24 13:00:00,188,196,200
2019-01-24 14:00:00,168,252,184
2019-01-24 15:00:00,149,213,165
2019-01-24 16:00:00,126,197,133
2019-01-24 17:00:00,96,313,105
2019-01-24 18:00:00,59,226,61
2019-01-24 19:00:00,42,209,47
2019-01-24 20:00:00,32,175,33
2019-01-24 21:00:00,33,224,37
2019-01-24 22:00:00,24,206,24
2019-01-24 23:00:00,32,205,32
2019-01-25 00:00:00,52,128,56
2019-01-25 01:00:00,80,135,84
2019-01-25 02:00:00,96,436,99
2019-01-25 03:00:00,138,225,152
2019-01-25 04:00:00,120,214,128
2019-01-25 05:00:00,125,192,147
2019-01-25 06:00:00,106,256,117
2019-01-25 07:00:00,122,211,134
2019-01-25 08:00:00,234,184,259
2019-01-25 09:00:00,165,235,179
2019-01-25 10:00:00,156,213,173
2019-01-25 11:00:00,136,222,147
2019-01-25 12:00:00,118,163,125
2019-01-25 13:00:00,193,214,207
2019-01-25 14:00:00,152,203,169
2019-01-25 15:00:00,131,230,152
2019-01-25 16:00:00,137,231,153
2019-01-25 17:00:00,111,268,115
2019-01-25 18:00:00,88,211,105
2019-01-25 19:00:00,53,257,56
2019-01-25 20:00:00,34,200,37
2019-01-25 21:00:00,24,373,24
2019-01-25 22:00:00,36,245,38
2019-01-25 23:00:00,37,210,37
2019-01-26 00:00:00,53,214,59
2019-01-26 01:00:00,95,217,100
2019-01-26 02:00:00,106,161,118
2019-01-26 03:00:00,161,197,166
2019-01-26 04:00:00,143,215,155
2019-01-26 05:00:00,113,179,117
2019-01-26 06:00:00,140,203,159
2019-01-26 07:00:00,173,258,192
2019-01-26 08:00:00,235,198,263
2019-01-26 09:00:00,179,264,190
2019-01-26 10:00:00,165,133,178
2019-01-26 11:00:00,179,239,192
2019-01-26 12:00:00,177,232,191
2019-01-26 13:00:00,208,245,223
2019-01-26 14:00:00,163,272,188
2019-01-26 15:00:00,143,579,152
2019-01-26 16:00:00,125,278,138
2019-01-26 17:00:00,102,215,115
2019-01-26 18:00:00,80,178,83
2019-01-26 19:00:00,53,-182,55
2019-01-26 20:00:00,33,308,34
2019-01-26 21:00:00,21,85,21
2019-01-26 22:00:00,27,116,28
2019-01-26 23:00:00,42,75,42
2019-01-27 00:00:00,55,156,57
2019-01-27 01:00:00,119,190,132
2019-01-27 02:00:00,122,310,132
2019-01-27 03:00:00,182,263,195
2019-01-27 04:00:00,167,140,181
2019-01-27 05:00:00,205,200,219
2019-01-27 06:00:00,179,178,211
2019-01-27 07:00:00,180,255,197
2019-01-27 08:00:00,245,193,259
2019-01-27 09:00:00,197,254,253
2019-01-27 10:00:00,196,226,216
2019-01-27 11:00:00,177,237,201
2019-01-27 12:00:00,174,165,193
2019-01-27 13:00:00,187,203,207
2019-01-27 14:00:00,143,239,156
2019-01-27 15:00:00,158,264,175
2019-01-27 16:00:00,110,-182,114
2019-01-27 17:00:00,80,300,87
2019-01-27 18:00:00,68,270,74
2019-01-27 19:00:00,49,293,53
2019-01-27 20:00:00,31,193,36
2019-01-27 21:00:00,25,431,29
2019-01-27 22:00:00,32,198,34
2019-01-27 23:00:00,33,164,35
2019-01-28 00:00:00,54,246,63
2019-01-28 01:00:00,96,264,104
2019-01-28 02:00:00,121,192,133
2019-01-28 03:00:00,184,217,192
2019-01-28 04:00:00,150,232,167
2019-01-28 05:00:00,142,216,161
2019-01-28 06:00:00,164,170,180
2019-01-28 07:00:00,165,89,181
2019-01-28 08:00:00,219,226,242
2019-01-28 09:00:00,201,184,228
2019-01-28 10:00:00,142,242,158
2019-01-28 11:00:00,147,235,159
2019-01-28 12:00:00,202,230,228
2019-01-28 13:00:00,204,222,228
2019-01-28 14:00:00,138,416,144
2019-01-28 15:00:00,127,274,147
2019-01-28 16:00:00,126,221,138
2019-01-28 17:00:00,82,243,92
2019-01-28 18:00:00,47,280,49
2019-01-28 19:00:00,47,245,52
2019-01-28 20:00:00,31,295,37
2019-01-28 21:00:00,31,175,33
2019-01-28 22:00:00,29,547,34
2019-01-28 23:00:00,37,117,38
2019-01-29 00:00:00,60,208,62
2019-01-29 01:00:00,109,263,119
2019-01-29 02:00:00,125,213,140
2019-01-29 03:00:00,164,230,181
2019-01-29 04:00:00,174,287,198
2019-01-29 05:00:00,159,254,185
2019-01-29 06:00:00,204,262,231
2019-01-29 07:00:00,203,201,230
2019-01-29 08:00:00,230,276,253
2019-01-29 09:00:00,214,223,252
2019-01-29 10:00:00,202,215,224
2019-01-29 11:00:00,165,268,196
2019-01-29 12:00:00,187,215,206
2019-01-29 13:00:00,196,288,209
2019-01-29 14:00:00,150,251,165
2019-01-29 15:00:00,148,183,160
2019-01-29 16:00:00,129,293,141
2019-01-29 17:00:00,89,401,100
2019-01-29 18:00:00,50,279,56
2019-01-29 19:00:00,53,268,58
2019-01-29 20:00:00,36,254,37
2019-01-29 21:00:00,28,215,30
2019-01-29 22:00:00,31,155,34
2019-01-29 23:00:00,32,329,81
2019-01-30 00:00:00,68,180,74
2019-01-30 01:00:00,98,231,111
2019-01-30 02:00:00,123,258,141
2019-01-30 03:00:00,167,204,189
2019-01-30 04:00:00,157,324,176
2019-01-30 05:00:00,165,252,196
2019-01-30 06:00:00,154,223,182
2019-01-30 07:00:00,177,199,202
2019-01-30 08:00:00,223,210,229
2019-01-30 09:00:00,182,262,204
2019-01-30 10:00:00,196,198,219
2019-01-30 11:00:00,215,204,243
2019-01-30 12:00:00,202,264,228
2019-01-30 13:00:00,204,227,224
2019-01-30 14:00:00,186,229,201
2019-01-30 15:00:00,180,251,197
2019-01-30 16:00:00,140,232,155
2019-01-30 17:00:00,140,217,149
2019-01-30 18:00:00,69,219,76
2019-01-30 19:00:00,45,310,51
2019-01-30 20:00:00,39,257,39
2019-01-30 21:00:00,29,239,34
2019-01-30 22:00:00,37,210,39
2019-01-30 23:00:00,34,114,39
2019-01-31 00:00:00,46,150,301
2019-01-31 01:00:00,78,264,82
2019-01-31 02:00:00,107,212,116
2019-01-31 03:00:00,155,182,172
2019-01-31 04:00:00,170,226,192
2019-01-31 05:00:00,190,238,215
2019-01-31 06:00:00,165,214,191
2019-01-31 07:00:00,199,212,228
2019-01-31 08:00:00,216,198,238
2019-01-31 09:00:00,162,195,188
2019-01-31 10:00:00,191,275,215
2019-01-31 11:00:00,181,174,205
2019-01-31 12:00:00,160,248,176
2019-01-31 13:00:00,216,204,231
2019-01-31 14:00:00,184,255,203
2019-01-31 15:00:00,159,223,177
2019-01-31 16:00:00,138,248,154
2019-01-31 17:00:00,82,277,91
2019-01-31 18:00:00,69,-460,73
2019-01-31 19:00:00,46,299,48
2019-01-31 20:00:00,29,263,30
2019-01-31 21:00:00,29,203,32
2019-01-31 22:00:00,29,292,31
2019-01-31 23:00:00,33,257,35
2019-02-01 00:00:00,48,226,51
2019-02-01 01:00:00,62,246,64
2019-02-01 02:00:00,104,266,106
2019-02-01 03:00:00,136,262,148
2019-02-01 04:00:00,116,263,137
2019-02-01 05:00:00,135,233,148
2019-02-01 06:00:00,203,232,238
2019-02-01 07:00:00,223,229,243
2019-02-01 08:00:00,222,216,245
2019-02-01 09:00:00,207,278,228
2019-02-01 10:00:00,205,291,225
2019-02-01 11:00:00,224,206,250
2019-02-01 12:00:00,198,200,209
2019-02-01 13:00:00,220,206,243
2019-02-01 14:00:00,188,241,198
